"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"921","14","Ian Cole","27","D","81","5","21","26","26","72","20","1","0","1","89","5.6","1605","19:49","1.4","4.2","5.6","194","164","0","0","","PIT"
"922","15","Carl Hagelin","28","LW","61","6","16","22","10","16","15","0","1","2","128","4.7","945","15:29","0.4","1.1","1.5","24","66","3","3","50.0","PIT"
"923","16","Trevor Daley","33","D","56","5","14","19","7","37","10","3","1","0","84","6.0","1141","20:23","1.2","2.0","3.2","83","29","0","0","","PIT"
"924","17","Tom Kuhnhackl","25","RW","57","4","12","16","8","18","11","0","1","0","49","8.2","607","10:39","0.5","0.8","1.3","42","112","2","2","50.0","PIT"
"925","18","Brian Dumoulin","25","D","70","1","14","15","0","14","10","4","0","0","78","1.3","1438","20:33","0.0","1.8","1.7","99","113","0","0","","PIT"
"926","19","Eric Fehr","31","C","52","6","5","11","3","14","5","0","0","3","61","9.8","568","10:56","0.3","0.5","0.8","34","78","75","76","49.7","PIT"
"927","20","Chad Ruhwedel","26","D","34","2","8","10","9","8","5","3","0","0","45","4.4","589","17:20","0.6","1.5","2.1","26","36","0","0","","PIT"
"928","21","Carter Rowney","27","RW","27","3","4","7","2","4","4","0","0","1","24","12.5","296","10:58","0.3","0.3","0.6","15","64","95","103","48.0","PIT"
"929","22","Olli Maatta","22","D","55","1","6","7","17","12","6","0","0","0","66","1.5","994","18:04","-0.4","2.6","2.3","102","72","0","0","","PIT"
"930","23","Mark Streit","39","D","19","1","5","6","-2","6","0","5","0","1","26","3.8","325","17:06","0.4","0.2","0.6","34","13","0","0","","PIT"
"931","24","Cameron Gaunce","26","D","12","1","3","4","1","13","3","0","0","0","8","12.5","150","12:31","0.4","0.3","0.6","10","23","0","0","","PIT"
"932","25","Josh Archibald","24","RW","10","3","0","3","3","4","0","0","0","0","11","27.3","109","10:52","0.4","0.2","0.6","2","28","0","1","0.0","PIT"
"933","26","Ron Hainsey","35","D","16","0","3","3","8","4","2","0","1","0","9","0.0","336","21:00","-0.1","1.1","1.0","28","14","0","0","","PIT"
"934","27","Matt Murray","22","G","49","0","2","2","0","0","1","1","0","0","0","","2766","56:27","0.0","0.0","10.3","0","0","0","0","","PIT"
"935","28","Tom Sestito","29","LW","13","0","2","2","0","48","2","0","0","0","3","0.0","72","5:32","0.0","0.0","0.1","2","19","0","0","","PIT"
"936","29","Steven Oleksy","30","D","11","0","1","1","2","24","1","0","0","0","11","0.0","151","13:42","-0.1","0.4","0.3","19","20","0","0","","PIT"
