"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"1020","8","Pavel Zacha","19","C","70","8","16","24","-17","19","8","8","0","2","83","9.6","1002","14:18","0.8","0.8","1.5","24","54","183","271","40.3","NJD"
"1021","9","John Moore","26","D","63","12","10","22","-7","39","8","2","0","1","102","11.8","1196","18:59","2.3","2.5","4.8","61","68","0","0","","NJD"
"1022","10","Beau Bennett","25","RW","65","8","11","19","-3","20","10","1","0","1","101","7.9","881","13:33","0.6","1.2","1.7","13","76","3","13","18.8","NJD"
"1023","11","Miles Wood","21","LW","60","8","9","17","-21","86","7","2","0","0","105","7.6","771","12:51","0.6","0.3","0.9","26","68","1","1","50.0","NJD"
"1024","12","Andy Greene","34","D","66","4","9","13","-16","8","6","3","0","1","83","4.8","1448","21:57","0.1","2.4","2.5","124","50","0","0","","NJD"
"1025","13","Kyle Quincey","31","D","53","4","8","12","4","39","8","0","0","0","61","6.6","988","18:38","0.6","2.9","3.4","70","71","0","0","","NJD"
"1026","14","Jacob Josefson","25","C","38","1","9","10","-1","16","8","1","0","1","44","2.3","465","12:15","-0.1","0.6","0.6","12","31","162","151","51.8","NJD"
"1027","15","Devante Smith-Pelly","24","RW","53","4","5","9","-19","12","3","2","0","0","76","5.3","716","13:30","-0.6","0.3","-0.3","32","94","29","42","40.8","NJD"
"1028","16","Joseph Blandisi","22","LW","27","3","6","9","-10","26","2","4","0","2","24","12.5","361","13:22","0.3","0.1","0.4","6","37","76","93","45.0","NJD"
"1029","17","Stefan Noesen","23","RW","32","6","2","8","4","22","2","0","0","0","51","11.8","411","12:50","0.4","0.8","1.2","9","40","5","7","41.7","NJD"
"1030","18","Nick Lappin","24","RW","43","4","3","7","-17","17","3","0","0","0","57","7.0","504","11:43","-0.2","0.0","-0.2","10","35","2","5","28.6","NJD"
"1031","19","Steven Santini","21","D","38","2","5","7","-6","14","5","0","0","0","46","4.3","611","16:05","0.2","1.1","1.3","35","83","0","0","","NJD"
"1032","20","Ben Lovejoy","32","D","82","1","6","7","-7","39","6","0","0","1","84","1.2","1703","20:46","-1.2","3.8","2.5","149","82","0","0","","NJD"
"1033","21","Jonathon Merrill","24","D","51","1","5","6","-9","24","5","0","0","0","48","2.1","947","18:34","-0.4","1.7","1.3","67","39","0","0","","NJD"
"1034","22","Yohann Auvitu","27","D","25","2","2","4","1","2","1","1","0","0","54","3.7","390","15:36","0.2","1.1","1.3","9","20","0","0","","NJD"
"1035","23","Sergey Kalinin","25","C","43","2","2","4","-14","15","2","0","0","0","38","5.3","550","12:48","-0.9","0.2","-0.7","20","53","72","102","41.4","NJD"
"1036","24","John Quenneville","20","C","12","1","3","4","1","2","2","1","0","0","21","4.8","164","13:42","0.1","0.3","0.4","7","15","0","0","","NJD"
"1037","25","Vernon Fiddler","36","LW","39","1","2","3","-11","29","2","0","0","0","37","2.7","477","12:14","-0.9","0.2","-0.7","19","42","247","223","52.6","NJD"
"1038","26","Dalton Prout","26","D","14","0","3","3","-5","30","3","0","0","0","7","0.0","209","14:56","0.1","0.1","0.2","8","20","0","0","","NJD"
"1039","27","Karl Stollery","29","D","11","0","3","3","-5","13","0","3","0","0","11","0.0","186","16:55","0.1","0.1","0.2","16","26","0","0","","NJD"
"1040","28","Blake Coleman","25","C","23","1","1","2","-7","27","1","0","0","0","29","3.4","295","12:51","-0.5","0.1","-0.4","15","51","96","130","42.5","NJD"
"1041","29","Reid Boucher","23","LW","9","0","2","2","0","2","2","0","0","0","12","0.0","110","12:15","-0.1","0.2","0.1","7","10","0","0","","NJD"
"1042","30","Seth Helgeson","26","D","9","1","0","1","2","15","0","0","0","0","3","33.3","121","13:28","0.1","0.5","0.6","11","16","0","0","","NJD"
"1043","31","Keith Kinkaid","27","G","26","0","1","1","0","0","0","1","0","0","0","","1476","56:46","0.0","0.0","4.9","0","0","0","0","","NJD"
"1044","32","Blake Pietila","23","LW","10","0","1","1","-5","4","1","0","0","0","9","0.0","130","13:02","-0.3","0.0","-0.3","5","16","23","22","51.1","NJD"
"1045","33","Luke Gazdic","27","LW","11","0","0","0","-2","12","0","0","0","0","3","0.0","78","7:08","-0.2","0.0","-0.2","6","16","0","0","","NJD"
"1046","34","Michael Kapla","22","D","5","0","0","0","-1","0","0","0","0","0","4","0.0","87","17:26","-0.1","0.1","0.0","5","5","0","0","","NJD"
"1047","35","Kevin Rooney","23","C","4","0","0","0","-3","4","0","0","0","0","2","0.0","41","10:11","-0.1","-0.1","-0.2","1","4","10","17","37.0","NJD"
"1048","36","Cory Schneider","30","G","60","0","0","0","0","0","0","0","0","0","0","","3473","57:53","0.0","0.0","9.5","0","0","0","0","","NJD"
"1049","37","Blake Speers","20","C","3","0","0","0","0","0","0","0","0","0","3","0.0","28","9:29","-0.1","0.0","0.0","1","1","0","2","0.0","NJD"
"1050","38","Ben Thomson","24","LW","3","0","0","0","-4","4","0","0","0","0","7","0.0","33","10:53","-0.1","-0.1","-0.2","1","7","0","1","0.0","NJD"
